state_name,crop_name,seed_cost,fertilizer_cost,manure_cost,pesticide_cost,irrigation_cost,misc_cost,machinery_cost,revenue,total_cost,yield_per_acre
Rajasthan,chickpea,3894.36,897.3,0.0,81.95,3604.32,25.21,14545.52,55043.41,23048.66,4.483923838044556
Rajasthan,chickpea,800.06,87.72,0.0,14.51,492.7,0.0,2229.19,7868.28,3624.1800000000003,2.043665648206228
Tamil Nadu,chickpea,7936.31,3147.02,0.0,1227.9,0.0,65.16,7979.26,38370.33,20355.65,2.824710143461282
Uttar Pradesh,chickpea,5476.25,1318.6,0.0,0.0,2603.34,16.44,17679.25,57027.38,27093.88,4.160174824467331
West Bengal,chickpea,3138.25,1616.13,0.0,0.0,0.0,0.0,18630.76,46320.28,23385.14,4.374658545962243
Uttar Pradesh,chickpea,3745.11,842.18,0.0,4.18,1011.53,0.0,12318.83,38563.17,17921.83,4.892656967685801
Rajasthan,chickpea,2120.01,340.28,0.85,61.48,1567.79,0.0,8416.75,29328.54,12507.16,3.2374901357722425
Maharashtra,chickpea,3426.49,1717.76,205.98,321.52,2261.33,0.0,10230.56,37424.71,18163.64,4.330143056595374
Madhya Pradesh,chickpea,3994.86,1243.17,9.37,709.37,1211.67,22.83,14117.12,44358.08,21308.39,4.787438538273204
Karnataka,chickpea,2598.89,1127.23,110.29,1405.68,44.78,0.0,7869.76,29453.31,13156.630000000001,3.2172558224236663
Telangana,chickpea,4859.79,2688.84,0.0,1891.32,313.09,76.53,21525.04,63213.26,31354.61,4.989781671758969
Uttar Pradesh,chickpea,987.93,249.12,16.1,1.58,112.83,0.0,4691.52,12918.54,6059.08,4.378705408631959
Haryana,chickpea,2305.07,1967.74,0.0,0.0,2896.65,25.83,16582.49,44301.04,23777.780000000002,3.431739543918577
